,,予算枠,残枠,優先順位,性別,年齢上限,求める資格[テキスト],都道府県,市区町村,最寄り駅,（上部）給与形態例下限,社名,URL,/previewなし,業種,職種,タイトル,仕事内容キャッチ,寮完備,寮費,雇用形態,案件ID,仕事No.,企業ID
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,熊本県,菊池郡大津町,【最寄り駅】<B>JR豊肥本線「肥後大津駅」<B>⇒車で10分ほど<B><B>【交通手段】<B>・車（無料駐車場完備）<B>・送迎（肥後大津駅から）,29.8,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804735,https://job-con.jp/detail/133/804735,半導体・電子,組立・組付け・機械オペレーター・塗装,即入寮OK！《出張手当あり》韓国や台湾などの海外出張もあるお仕事！【3DI装置の調整・パーツ組付】,3DI装置の調整・パーツ組付/日勤専属/入社日に2万円支給/熊本県菊池郡大津町<B><B>半導体を自動検査したりする、<B>「3DI装置」の調整をお任せします。<B><B>■製品ソフトを使用しての各種調整業務<B>→機械へのデータ入力等がメイン<B><B>■装置パーツの組付け・取り付け<B><B>■半導体製品の出荷前の準備<B><B>等をおこないます。,1,,派遣社員,804735,a00avu_01a,133
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,熊本県,菊池市,【最寄り駅】<B>JR九州 豊肥本線『肥後大津駅』<B>⇒車で11分ほど<B><B>【交通手段】<B>・車（無料駐車場完備）<B>・送迎バス（肥後大津駅から）,29.7,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804736,https://job-con.jp/detail/133/804736,半導体・電子,組立・組付け・機械オペレーター・塗装,即入寮OK！寮費補助あり！充実の研修があるから未経験OK☆【クリーンルームで組立作業】,電子部品の組立/日勤専属/入社日に2万円支給/熊本県菊池市<B><B>半導体工場のクリーンルーム内にて<B>電子部品の組立て作業をお願いします！<B><B>手作業や手動ドライバーを使い、<B>マニュアルを見ながら順番通りに<B>パーツを組み立てていくので<B>完成した時の達成感はたまりません♪<B><B>他にも組み立てるパーツの補充作業や、<B>イスに座って部品の検品なども行います！<B><B>・プラモデル作りが好き<B>・ハンドメイドが好き<B>・DIYが趣味<B>そんな方は必見のお仕事です★<B><B><B>≪未経験も大歓迎！≫<B>実技だけでなく座学も学べる<B>研修が2週間ほどあります！<B><B>教育制度がバッチリ整っているので<B>未経験でも安心してスタートできますよ！<B>※期間中の待遇変動は無し,1,,派遣社員,804736,a00arh_01a,133
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,名古屋市港区,【最寄り駅】<B>地下鉄名港線「築地口駅」　<B>→車で3分、徒歩15分<B><B>【交通手段】<B>車、電車、徒歩,25.8,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804737,https://job-con.jp/detail/133/804737,食品・飲料,食品加工,即入寮OK！モクモク機械操作で、ペットの美味しいを届ける【ペットフードの製造オペレーター・設備清掃】,ペットフードの製造オペレーター・設備清掃/3交替勤務/入社日に2万円支給/愛知県名古屋市港区<B><B>納品された10kgほどの原料を移動させたり、<B>ペットフードを配合する機械に原料を入れ<B>機械を操作する作業がメインです！<B><B>機械操作はボタンをポチッと押すだけでOK。<B>難しい作業はぜーんぶ機械にお任せ！<B><B>他の種類のフードを作る時は<B>機械を掃除してキレイにしてから、<B>部品を交換して味変更します◎<B>※業務のうち半分くらいは、<B>　材料を変える為の清掃作業になります。<B><B>加工後はモニターにて製品チェック！<B>（パソコンを使ったデータ入力）<B><B>＜主な作業＞<B>・ペットフード用原料（小麦粉など）の投入<B>・エアークリーナーで機械の清掃・点検<B>・機械から金型を取り出す部品交換<B>・部品（筒など）の清掃<B>・PCでデータ入力<B>※基本は2人1組で作業を行います,1,,派遣社員,804737,a00alk_01a,133
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,半田市,【最寄り駅】<B>JR東海 武豊線『亀崎駅』　<B>→車で5分、徒歩30分<B><B>【交通手段】<B>車、バイク、自転車,40.9,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804739,https://job-con.jp/detail/133/804739,輸送機械,組立・組付け・機械オペレーター・塗装,即入寮OK！月収40万円可！「手を動かした分、しっかり評価される」職場です 【航空機部品の組立】,航空機製造の組立業務/2交替制/入社日に2万円支給/愛知県半田市<B><B>航空機の胴体や主翼などに使われる、<B>大型部品の製造に関わるお仕事です。<B><B>【具体的には...】<B>図面や手順書をもとに、<B>穿孔ハンドドリルによる穴あけや、<B>リベット・トルクレンチなどの工具を使って<B>部品を組み立てていきます。<B><B>作業は基本的に立ち作業で、<B>複数人のチームで協力して工程を進めます。<B><B>また、品質や安全への意識が高く、<B>工程ごとに基準が設けられているため、<B>細かい作業や正確な手順に自信のある方に<B>向いているお仕事です。<B><B>「航空機製造の現場にもう一度携わりたい」<B>「ものづくりに集中できる環境で働きたい」<B>そんな方もぜひご応募ください◎,1,,派遣社員,804739,a00ava_01a,133
FALSE,,,,2,男性,49,〇40代までの男性活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,刈谷市,【最寄り駅】<B>名鉄名古屋本線『富士松駅』<B>⇒車で5分　徒歩20分ほどの距離<B><B>【交通手段】<B>車、バイク　※電車通勤は不可です,37,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804740,https://job-con.jp/detail/133/804740,自動車・部品・バイク,組立・組付け・機械オペレーター・塗装,面接後、即日入寮OK！赴任・引越しも無料！現在地まで迎えに行きます！時給1850円＆祝金60万円！,鋼板プレス・溶接後のチェック/時給1850円/入社日に2万円支給/愛知県刈谷市<B><B>協力しあって行う工場ワーク！<B>1人じゃない&サポートありだから、はじめての方も安心。<B><B>お仕事の主な内容は以下の通り。<B><B>■プレス<B>・鋼板ロールを裁断機に投入（機械）<B>・くり抜かれた鋼板をプレス機で成型<B><B>■溶接　<B>・部品を熱で繋ぎ合わせ、成型（機械）<B>・部品取付（機械）<B>・手と目での検査<B><B>■塗装<B>・塗装前洗浄<B>・スプレー作業（手作業）<B>・塗装（機械）<B>・乾燥後の塗装面チェック<B><B>■組立<B>・配線などの部品取付（機械補助あり）<B><B>■検査<B>・正しい部品が取り付けられているか<B>・キズや凹みがないか<B>・使用時の異音がないか<B>※目視や検査機を使用<B><B>配属は、適正をみて行われます！,1,,派遣社員,804740,a00acd_01a,133
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,半田市,【最寄り駅】<B>JR武豊線『亀崎駅』『乙川駅』<B>→車5分、徒歩22分ほど<B><B>【交通手段】<B>車、バイク、自転車、公共交通機関,28.3,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804741,https://job-con.jp/detail/133/804741,輸送機械,組立・組付け・機械オペレーター・塗装,"即入寮OK！《寮費補助40,000円》飛行機を作る、夢のようなお仕事。【航空機の組立】",航空機の製造・組立/日勤専属/入社日に2万円支給/愛知県半田市<B><B>大型航空機の中央翼の組立作業を<B>メインにお任せします！<B><B>【 おもな作業 】<B>■チタンの板パーツにドリルで穴空け<B>■インパクトドライバー等でのネジ締め<B>■有機溶剤で部品洗浄（防毒マスクを着用）<B>など<B><B>作業は各チームで一緒に行うので、<B>1人で全ての作業を任されることはありません！,1,,派遣社員,804741,a00agi_01a,133
FALSE,,,,2,男性,49,〇40代までの男性活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,名古屋市港区,仕事・職場により異なります<B>最寄り駅から徒歩5分以内<B>車通勤OK<B>などの職場あり<B><B>【交通手段】<B>バイク、自転車、車、公共交通機関<B><B>※お仕事により異なります,40.8,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804742,https://job-con.jp/detail/133/804742,輸送機械,組立・組付け・機械オペレーター・塗装,時給1850円！月収例40万円！前払い制度で目先のお金が不安な方も◎引越しサポートあり！即日入寮可！,航空機部品の機械OP/月収40万円以上可/引っ越しサポート/即入寮OK/入社日に2万円支給/愛知県名古屋市港区<B><B>月収40万円以上など<B>あなたに合ったお仕事多数あり！ご希望をお聞かせください！<B><B>【今オススメのお仕事はこちら】<B>職場は名古屋市内で便利！<B><B>航空機の部品製造に携わるお仕事<B>〇機械オペレーター<B>〇検査<B>〇シートを貼り付け<B>など<B>工場内は空調完備で快適ですし、<B>薬品など臭いの強いものはありません。<B>ライン作業ではないので、<B>慌てることなく、ご自身のペースで<B>じっくりと仕事に向き合えるため、<B>未経験の方でも安心ですよ。<B><B>★その他にも高収入案件を多数用意しています。<B>　お気軽にお問合せください。,1,,派遣社員,804742,a00aep_01a,133
FALSE,,,,2,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,岐阜県,揖斐郡大野町,【最寄り駅】<B>養老鉄道 養老線『広神戸駅』<B>→車で10分ほど<B><B>【交通手段】<B>車、バイク、自転車,30.9,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804743,https://job-con.jp/detail/133/804743,半導体・電子,クレーン・フォークリフト・運搬,今なら“寮費無料”で即入寮OK！電動台車で製品を運ぶだけ◎【クリーンルームで電子部品の運搬】,電子部品の運搬/4勤2休/2交替/入社日に2万円支給/岐阜県揖斐郡大野町<B><B>製品を電動の運搬台車を使って、<B>各設備へ運ぶお仕事です。<B><B>【具体的には】<B>製造ラインのA設備からB設備へ製品を運び、<B>次はC設備で完成品を回収するなど、<B>決められたルートに沿って<B>1サイクルで10設備ほど回っていきます。<B><B>台車を使って運ぶので<B>“チカラ仕事はほとんど無く”<B>また、建物内に専用のエレベーターがあり、<B>各フロア間の運搬もスムーズです。<B><B>作業中は設備や人と接触しないように<B>注意しながら、オペレーターや仲間と<B>無線で連携して進めます。<B><B>最初は先輩社員が<B>OJTで丁寧に教えてくれるので、<B>未経験の方でも安心してスタートできます◎,1,,派遣社員,804743,a00avq_01a,133
FALSE,クボタ筑波,25,15,2,男性,39,工場未経験でも稼げます！,茨城県,つくばみらい市,つくばエクスプレス「みどりの駅」徒歩16分,2000,シーデーピージャパン株式会社,https://job-con.jp/detail/preview/229/713304,https://job-con.jp/detail/229/713304,機械・金属・鉄鋼,組立・組付け・機械オペレーター・塗装,絶対的高収入！キュッとネジしめのカンタン作業で月収例40万円以上★寮費無料＆特典最大60万円★,ネジ締め作業/月収40万円以上可/寮費無料/特典最大60万円/高収入<B><B>・工具できゅきゅっとねじ締め作業<B>・目で見てチェックのカンタン検査<B>・伝票見ながら部品を仕分ける軽作業<B>などがあります♪<B><B>【トラクタ組立】<B>主にライン作業インパクトレンチや工具を使用しての<B>トラクタ部品及び本体組立（ネジ締め等）　<B><B>【塗装】<B>塗装前・後工程（塗装ラインのフックへの掛け下ろし作業　<B><B>【機械加工】<B>加工機への部品のセット、機械の始動・監視・取込<B>ノギス等を使用しての測定検査　<B><B>【ピッキング】<B>指示書に基づき、各製造ライン宛に必要な部材を仕分けする<B><B>各部署配属前に、適性検査があるので、<B>「希望の職種は特にないなぁ～」なんて人も大歓迎♪<B><B>わからないことはすぐに聞ける環境ですし<B>未経験の方にも1から丁寧に指導するので<B>製造未経験でも全く問題ありません！,1,,派遣社員,713304,16A22401◆,229
FALSE,輸送機工業,10,4,2,男性,39,≪未経験者大歓迎！≫<B>工場で働いた経験のない方でもしっかりサポート！<B>しっかりした研修でスキルと安心・安全を確保！<B>充実した教育プログラムがあるので安心して働けます。,愛知県,半田市,JR武豊線 乙川駅出口より800ｍ、徒歩約11分,39,シーデーピージャパン株式会社,https://job-con.jp/detail/preview/229/808731,https://job-con.jp/detail/229/808731,その他,組立・組付け・機械オペレーター・塗装,名古屋駅までも30分程度の好立地！ライン作業なしの航空機部品の製造で月収39万円以上可！寮費無料◎,航空機部品の製造/土日休み/月収例39万円/寮費無料<B><B>航空機に欠かせない、床板の骨組み部品などを<B>製造する工場でのお仕事です。<B><B>以下のいずれかの工程に配属予定です。<B><B>1.航空機外板の成形作業：<B>機体の外側を構成する外板の成形を行います。<B><B>2.胴体補強部品の製造： <B>機体の強度を保つための重要な補強パーツを作ります。<B><B>3.骨組み部品の組立： <B>インパクトなどの工具を使用しながら、<B>客室の床板を支える骨組みを組み立てます。<B><B>4.リベットを使用した締結作業：<B>専用のツールを使い、部品同士をしっかりと固定・締結します。<B><B>5.その他付随する業務： <B>進行状況に合わせた周辺のサポート業務を行います。<B><B><B>スピードだけを追い求める製造業のライン作業とは異なり、<B>一つひとつを丁寧にじっくりと進めていく作業となります。<B><B>入社直後は1週間の研修がございます。<B>知識の習得や工具の正しい扱い方など、<B>基礎から学んだうえで現場に配属となりますので、<B>製造業未経験の方でも安心して就業することができますよ。,1,,派遣社員,808731,39A10301◆,229
FALSE,クボタ枚方,16,9,2,男性,39,◆学歴不要<B><B>【歓迎】<B>◎製造経験ある方！,大阪府,枚方市,京阪/枚方市駅より<B>　 【無料送迎バス】 あり！<B><B>◆交通費実費支給<B><B>※各規定あり,32,株式会社ビート　業務部【03】,https://job-con.jp/detail/preview/3581/806837,https://job-con.jp/detail/3581/806837,機械・金属・鉄鋼,組立・組付け・機械オペレーター・塗装,＼日勤×土日休み／月収例32万円×入社祝い金10万円！未経験×若手活躍中！赴任日に3万円GET,車両の組立・検査/日勤/月収例32万円/土日休み/無料送迎あり/祝金あり<B><B>車両の組立や検査をお任せします。　<B>ライン作業ですが、スピードはゆっくり。<B>はじめての方も、無理なく進められます！<B><B>適性を見て、以下のいずれかに配属となります。<B><B>【仕事内容】<B>〇組立<B>・油圧ホースの取り付けや、<B>　電動工具を使った<B>　部品の組み付け作業<B>・トルクレンチやスパナを使い、<B>　部品をしっかり締め付ける作業<B>・部品へのラベル貼り<B>・必要な部品を集めるピッキング作業<B>※シンプルで覚えやすい作業が中心です。<B><B>〇検査<B>・製品の傷や不具合有無をチェック<B>・外観（塗装のはがれ、傷、変形がないか）<B>・内部（部品が正しく付いているか）<B>・動作（実際に動かして問題がないか）<B>※特別な経験は不要です。<B><B><B>〇部品ピッキング<B>・必要な部品を準備<B>・台車や設備を使用<B><B>研修は5日間。<B>座学と実技でしっかり学べます！<B>テストで不明点を見つけ出すなど、<B>きちんと実力が身につく環境です♪,1,,派遣社員,806837,KBT枚方,3581
